ÊµÑéÈËÔ±±àºÅ,ÄêÁä,Éí¸ß,ÌåÖØ,BMI,ÈÕÆÚ,Ê±¼ä,ÎÂ¶È£¨¡æ£©,Êª¶È£¨%£©,ÈÈÊæÊÊ½ÓÊÜ³Ì¶È£¨-3~3£©,ÈÈ¸Ğ¾õ£¨-3~3£©,ÓĞÎŞ·ç¸Ğ
2,22,178,65,20.51508648,2018/7/9,8:50:00,23.2,65,0.5,-0.5,0
2,22,178,65,20.51508648,2018/7/9,9:00:00,24,61,-0.3,-1,0
2,22,178,65,20.51508648,2018/7/9,9:30:00,24.3,55,-0.2,-1,0
2,22,178,65,20.51508648,2018/7/9,10:00:00,26.3,53,1.8,-0.2,0
2,22,178,65,20.51508648,2018/7/9,10:30:00,26.7,58,0.5,0,0
2,22,178,65,20.51508648,2018/7/9,11:00:00,27.3,57,2.5,1,0
2,22,178,65,20.51508648,2018/7/9,11:30:00,27.6,58,1.7,0.1,0
2,22,178,65,20.51508648,2018/7/9,12:00:00,27.5,59,2.2,-1,0
2,22,178,65,20.51508648,2018/7/9,14:20:00,26.7,61,1,1,0
2,22,178,65,20.51508648,2018/7/9,14:30:00,26.7,61,1.5,1.3,0
2,22,178,65,20.51508648,2018/7/9,15:00:00,26.7,55,1.5,0,0
2,22,178,65,20.51508648,2018/7/9,15:30:00,26.4,58,1.7,0,0
2,22,178,65,20.51508648,2018/7/9,16:00:00,25.8,52,1.6,-0.5,0
2,22,178,65,20.51508648,2018/7/9,16:30:00,25.2,60,2,0,0
2,22,178,65,20.51508648,2018/7/9,17:00:00,25.6,58,1.8,1,0
2,22,178,65,20.51508648,2018/7/9,17:30:00,25.8,56,1,-0.5,0
2,22,178,65,20.51508648,2018/7/10,8:50:00,26.8,60,1.1,0,0
2,22,178,65,20.51508648,2018/7/10,9:00:00,26.9,61,1.2,0,0
2,22,178,65,20.51508648,2018/7/10,9:30:00,27.6,60,2.1,0.3,0
2,22,178,65,20.51508648,2018/7/10,10:00:00,26.9,56,1.8,0,0
2,22,178,65,20.51508648,2018/7/10,10:30:00,26,53,1.8,0.2,0
2,22,178,65,20.51508648,2018/7/10,11:00:00,nan,nan,nan,nan,nan
2,22,178,65,20.51508648,2018/7/10,11:30:00,25.1,53,0.7,-0.3,0
2,22,178,65,20.51508648,2018/7/10,12:00:00,25.3,64,0.5,-0.7,0
2,22,178,65,20.51508648,2018/7/10,14:20:00,24.6,59,0.7,0.3,0
2,22,178,65,20.51508648,2018/7/10,14:30:00,24.5,58,0.7,0,0
2,22,178,65,20.51508648,2018/7/10,15:00:00,26.7,55,2.2,0.3,0
2,22,178,65,20.51508648,2018/7/10,15:30:00,27.4,58,2.1,0,0
2,22,178,65,20.51508648,2018/7/10,16:00:00,27.6,59,1.7,0,0
2,22,178,65,20.51508648,2018/7/10,16:30:00,28.1,59,1.3,0,0
2,22,178,65,20.51508648,2018/7/10,17:00:00,28.1,59,1.4,0.3,0
2,22,178,65,20.51508648,2018/7/10,17:30:00,28.4,60,1.7,0,0
2,22,178,65,20.51508648,2018/7/11,8:50:00,27.1,59,1.3,0.2,0
2,22,178,65,20.51508648,2018/7/11,9:00:00,27.1,60,1.7,1,0
2,22,178,65,20.51508648,2018/7/11,9:30:00,28,59,1.6,1,0
2,22,178,65,20.51508648,2018/7/11,10:00:00,26.3,54,2.2,1,0
2,22,178,65,20.51508648,2018/7/11,10:30:00,26.1,50,2,0.5,0
2,22,178,65,20.51508648,2018/7/11,11:00:00,25.6,51,0.5,-1,0
2,22,178,65,20.51508648,2018/7/11,11:30:00,26,51,1.6,-0.7,0
2,22,178,65,20.51508648,2018/7/11,12:00:00,27.4,53,1.6,0,0
2,22,178,65,20.51508648,2018/7/11,14:20:00,27.9,54,2.2,0,0
2,22,178,65,20.51508648,2018/7/11,14:30:00,28.1,55,2,0,0
2,22,178,65,20.51508648,2018/7/11,15:00:00,nan,nan,nan,nan,nan
2,22,178,65,20.51508648,2018/7/11,15:30:00,nan,nan,nan,nan,nan
2,22,178,65,20.51508648,2018/7/11,16:00:00,nan,nan,nan,nan,nan
2,22,178,65,20.51508648,2018/7/11,16:30:00,nan,nan,nan,nan,nan
2,22,178,65,20.51508648,2018/7/11,17:00:00,nan,nan,nan,nan,nan
2,22,178,65,20.51508648,2018/7/11,17:30:00,nan,nan,nan,nan,nan
2,22,178,65,20.51508648,2018/7/12,8:50:00,22.8,59,0.8,-0.5,0
2,22,178,65,20.51508648,2018/7/12,9:00:00,23.2,58,0.4,-0.5,0
2,22,178,65,20.51508648,2018/7/12,9:30:00,23.7,58,1.6,-0.3,0
2,22,178,65,20.51508648,2018/7/12,10:00:00,25,58,1.7,0,0
2,22,178,65,20.51508648,2018/7/12,10:30:00,25.9,57,2.1,0,0
2,22,178,65,20.51508648,2018/7/12,11:00:00,26.4,58,1.5,-0.3,0
2,22,178,65,20.51508648,2018/7/12,11:30:00,26.7,57,0.5,-0.9,0
2,22,178,65,20.51508648,2018/7/12,12:00:00,26.9,57,0.5,-0.8,0
2,22,178,65,20.51508648,2018/7/12,14:20:00,25.9,53,1.9,0.3,0
2,22,178,65,20.51508648,2018/7/12,14:30:00,25.8,53,0.8,0.3,0
2,22,178,65,20.51508648,2018/7/12,15:00:00,24.5,45,0.9,-0.2,0
